S.No,Name of BC,Contact Number,Gender,Bank Name,State,District ,Office Name,Pincode,Corporate BC name,ODOP product,CODE WORD OF PRODUCT LIST,CROP2 NAME,CROP2 SEASON,CROP1 AREA,CROP1 PRODUCTION,CROP1 Pincode,CROP1 NAME,SEASON,CROP AREA,CROP PRODUCTION,CROP3 NAME,SEASON,CROP AREA,CROP PRODUCTION
658,Ajit Jha,7050339835,female,Bandhan Bank,Bihar,MADHEPURA,Gopalpur BO,852220,Micro Data Service Provider (P) Ltd,"Bamboo Art,Mango",Madhepura%Bihar,Rice,Winter,Winter,117196,852220,Bajra,Kharif,12,14,Groundnut,Kharif,12,12
659,Deepika Srivastava,3465816153,female,CSB Bank,Haryana,SONIPAT,Anwali BO,131409,Micro Enterprises & Sustainable Project,"Plastic moulded Products ( Electronic Toys),Food Processing,Stainless Steel Products",Sonipat%Haryana,Maize,Rabi,Rabi,47347,131409,Moong(Green Gram),Rabi,90246,1527,Rice,Rabi,2942,10041
660,Aswani Kumar,5464138958,male,City Union Bank,Rajasthan,SIKAR,Bhilunda BO,332028,MindsArray Network Pvt Ltd,Furniture - Antique,Sikar%Rajasthan,Rice,Rabi,Rabi,15516,332028,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
661,Pranjal,6083857195,male,DCB Bank,Haryana,PANIPAT,Hathwala S.O,132115,Mintifi Finserve Ltd.,Handloom and Textiles,Panipat%Haryana,Maize,Rabi,Rabi,47347,132115,Moong(Green Gram),Rabi,90246,1527,Rice,Rabi,2942,10041
662,Reetu,2291954136,female,Dhanlaxmi Bank,Bihar,MADHUBANI,Andah BO,847234,Mobisafar Services Private Limited,"Madhubhani Painting,Sikki Painting,Makhana",Madhubani%Bihar,Rice,Winter,Winter,188450,847234,Rice,Summer,4005,,Wheat,Rabi,90522,224042
663,Irshan Jahan,7538731755,female,Jammu & Kashmir Bank,Jammu and Kashmir,BARAMULLA,Aloosa S.O,193505,Money on Mobile,Apples,Baramulla%Jammu & Kashmir,Maize,Kharif,Kharif,29243,193505,Rice,Summer,4005,,Wheat,Rabi,90522,224042
664,Swaraj Kumar,3540595483,female,South Indian Bank,Telangana,HYDERABAD,Bowenpally S.O,500011,Moneyboxx Finance Limited,Studded gold jewllery,Hyderabad%Telangana,Rice,Rabi,Rabi,15516,500011,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
665,Sneha Yadav,7583682496,male,ICICI Bank,Bihar,SUPAUL,Chunnimal BO,852137,MOON LIGHT INFRA SERVICES,"Lac Bangles,Makhana",Supaul%Bihar,Rice,Winter,Winter,149839,852137,Rice,Summer,4005,,Wheat,Rabi,90522,224042
666,Ritika Agrawal,2901214697,female,IndusInd Bank,Bihar,PURNIA,BKAsthan BO,854303,Mos Utility Pvt Ltd,"Bamboo Art,Jute,Makhana",Purnea%Bihar,Rice,Winter,Winter,185906,854303,Rice,Summer,4005,,Wheat,Rabi,90522,224042
667,Dilashish Khamaru,2637940758,female,IDFC FIRST Bank,Haryana,SIRSA,Banwala BO,125103,MOVELL AUTO TECH,"Cotton Products (Balls, Swabs),Sheet Fabrication (Pre Fab Structures)",Sirsa%Haryana,Maize,Rabi,Rabi,47347,125103,Moong(Green Gram),Rabi,90246,1527,Rice,Rabi,2942,10041
668,Anushka Singh,6181273364,male,South Indian Bank,Telangana,PEDDAPALLI,Appannapet B.O,505174,MPCON Ltd,Rice based products,Peddapalli%Telangana,Rice,Rabi,Rabi,15516,505174,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
669,Samridhi Jaiswal,3437933580,male,South Indian Bank,Telangana,PEDDAPALLI,Bommareddypalli B.O,505416,MULTINANCE INDIA,Rice based products,Peddapalli%Telangana,Rice,Rabi,Rabi,15516,505416,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
670,Rajat Kumar Chaubey,9036540966,female,IDBI Bank,West Bengal,BIRBHUM,Bhurkuna BO,731102,MUTHOOT FINANCE LIMITED,"Santiniketan Leather goods,Kantha",Birbhum%West Bengal,Rice,Winter,Winter,1029374,731102,Maize,Summer,115,276,Wheat,Rabi,90522,224042
671,Hina Varshney,4456634762,female,RBL Bank,Rajasthan,SIKAR,Antri BO,332021,MV E COMMERCE SERVICES PVT LTD,Furniture - Antique,Sikar%Rajasthan,Rice,Rabi,Rabi,15516,332021,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
672,Chitra Singh,7662937908,male,YES Bank,Maharashtra,NASHIK,Devargaon B.O,422203,MyRoots Rural Business Centres Private Limited,"Grapes/ Raisins,Paithani Sarees",Nashik%Maharashtra,Bajra,Kharif,Kharif,108900,422203,Safflower,Rabi,100,100,Groundnut,Summer,100,200
673,Vaibhav Agrawal,9135100077,male,Bank of Baroda,Bihar,BEGUSARAI,Begusarai Court SO,851101,NABADIGANTA SERVICE COOPERATIVE SOCIETY LTD,"Maize,Chilly",Begusarai%Bihar,Wheat,Rabi,Rabi,64159,851101,Rice,Summer,4005,,Wheat,Rabi,90522,224042
674,Rekha Kumari,8823472851,female,Bank of India,Maharashtra,JALGAON,Deogaon S.O (Jalgaon),425112,NAVACHETANA MICROFIN SERVICES PRIVATE LIMITED,"Jalgaon Banana,Plastic PVC Pipes",Jalgaon%Maharashtra,Cotton(lint),Kharif,Kharif,768100,425112,Groundnut,Summer,2400,3100,Wheat,Rabi,90522,224042
675,Mamta Kumari,9262619263,male,Bank of Maharashtra,West Bengal,BIRBHUM,Ahmadpur SO,731201,Navnit Chetana Mandal (NCM),"Santiniketan Leather goods,Kantha",Birbhum%West Bengal,Rice,Winter,Winter,1029374,731201,Maize,Summer,115,276,Wheat,Rabi,90522,224042
676,Sapana Punit Tiwari,4601967129,female,South Indian Bank,Telangana,SIRCILLA,Badnepalli B.O,505405,Nearby Technologies Pvt Ltd,Fisheries,Rajanna Sircilla%Telangana,Rice,Rabi,Rabi,15516,505405,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
677,Ayushi Srivastava,1473779813,female,Central Bank of India,Delhi,NEW DELHI,Kidwai Nagar East SO,110023,Neo Leaf  M/s BRICK EAGLE AFFORDABLE HOUSING FINANCE LIMITED,Bakery Products,New Delhi%Delhi,Maize,Rabi,Rabi,47347,110023,Moong(Green Gram),Rabi,90246,1527,Rice,Rabi,2942,10041
678,Abhishek Kashyap,2637350057,female,Indian Bank,Haryana,GURGAON,Gurgaon Sector 45 SO,122003,New Opportunity Consultancy Private Limited,"Textile and Apparels,Enginerring Goods",Gurugram%Haryana,Maize,Rabi,Rabi,47347,122003,Moong(Green Gram),Rabi,90246,1527,Rice,Rabi,2942,10041
679,Saurabh Pratap Singh,9093448356,female,Indian Overseas Bank,Haryana,JHAJJAR,Hassangarh SO,124404,Next Vision,Footwear,Jhajjar%Haryana,Maize,Rabi,Rabi,47347,124404,Moong(Green Gram),Rabi,90246,1527,Rice,Rabi,2942,10041
680,Komalpreet Kaur,7337358752,female,Punjab and Sind Bank,Haryana,REWARI,Ahrod BO,123102,NextRu Livelihoods Private Limited,"Motorcycles/ bikes,Engineering Goods",Rewari%Haryana,Maize,Rabi,Rabi,47347,123102,Moong(Green Gram),Rabi,90246,1527,Rice,Rabi,2942,10041
681,Niketa Kumari Dokania,6328397057,female,Punjab National Bank,Rajasthan,SIKAR,Bochi BO,332029,Nextzen FI-Tech Privaye Ltd,Furniture - Antique,Sikar%Rajasthan,Rice,Rabi,Rabi,15516,332029,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
682,Ipshita Raj,8081658102,female,State Bank of India,Haryana,KARNAL,Bhaini Khrud B.O,132116,NICT Technologies Pvt Ltd,"Ayurvedic Products,Food Processing,Printing and Packaging",Karnal%Haryana,Maize,Rabi,Rabi,47347,132116,Moong(Green Gram),Rabi,90246,1527,Rice,Rabi,2942,10041
683,Nilesh Kumar Agarwal,1081971045,male,UCO Bank,Bihar,MADHUBANI,Bhariabishanpur BO,847235,Nineroot technologies,"Madhubhani Painting,Sikki Painting,Makhana",Madhubani%Bihar,Rice,Winter,Winter,188450,847235,Rice,Summer,4005,,Wheat,Rabi,90522,224042
684,Arun Dwivedi,8392222345,male,Union Bank of India,Uttar Pradesh,ALIGARH,Atrauli Ro RS BO,202282,Non Corporate Bc,"Lock & Hardware,Metal Handicraft",Aligarh%Uttar Pradesh,Wheat,Rabi,Rabi,546558,202282,Rice,Summer,4005,,Wheat,Rabi,90522,224042
685,Uttam Kumar,2305026497,male,South Indian Bank,Telangana,HYDERABAD,Begum Bazar S.O,500012,Novopay,Studded gold jewllery,Hyderabad%Telangana,Rice,Rabi,Rabi,15516,500012,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
686,Sanjay Dutt,3881078235,male,Bandhan Bank,Bihar,SUPAUL,Baskhora BO,852133,Novopay Solutions Private Limited,"Lac Bangles,Makhana",Supaul%Bihar,Rice,Winter,Winter,149839,852133,Rice,Summer,4005,,Wheat,Rabi,90522,224042
687,Vimlesh,3566275506,female,CSB Bank,Bihar,PURNIA,Purnea City SO,854302,Oasys Cybernectics Pvt Ltd,"Bamboo Art,Jute,Makhana",Purnea%Bihar,Rice,Winter,Winter,185906,854302,Rice,Summer,4005,,Wheat,Rabi,90522,224042
688,Pooja Giri,6129997115,male,City Union Bank,Haryana,SIRSA,Abubshahar BO,125104,OASYS ONE STOP SOLUTION PRIVATE LIMITED,"Cotton Products (Balls, Swabs),Sheet Fabrication (Pre Fab Structures)",Sirsa%Haryana,Maize,Rabi,Rabi,47347,125104,Moong(Green Gram),Rabi,90246,1527,Rice,Rabi,2942,10041
689,Arjun Kumar Singh,4907655663,female,South Indian Bank,Telangana,PEDDAPALLI,Adivisomanpalli B.O,505184,ODISHA,Rice based products,Peddapalli%Telangana,Rice,Rabi,Rabi,15516,505184,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
690,Anurag Kumar Srivastava,1059860928,male,South Indian Bank,Telangana,JAGTIAL,Dharmapuri S.O,505425,ODISHA LIVELIHOODS MISSION NRUM,Mango,Jagtial%Telangana,Rice,Rabi,Rabi,15516,505425,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
691,Rijvan Ansari,5258091128,female,Federal Bank,West Bengal,BIRBHUM,Baraalunda BO,731103,ORANGE E SEVA PVT LTD,"Santiniketan Leather goods,Kantha",Birbhum%West Bengal,Rice,Winter,Winter,1029374,731103,Maize,Summer,115,276,Wheat,Rabi,90522,224042
692,Mahesh Kumar Modi,3527669453,female,HDFC Bank,Rajasthan,SIKAR,Badalwas BO,332023,ORIEL FINANCIAL SOLUTION PVT LTD,Furniture - Antique,Sikar%Rajasthan,Rice,Rabi,Rabi,15516,332023,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
693,Arpit Saxena,7246877886,female,ICICI Bank,Maharashtra,NASHIK,Amlon B.O,422204,ORIGO FINANCE PRIVATE LIMITED,"Grapes/ Raisins,Paithani Sarees",Nashik%Maharashtra,Bajra,Kharif,Kharif,108900,422204,Safflower,Rabi,100,100,Groundnut,Summer,100,200
694,Rajesh Sharma,6462623624,female,IndusInd Bank,Bihar,SAMASTIPUR,Baghra SO Samastipur,848506,Orocorp Technologies Private Limited,"Bamboo Art,Turmeric",Samastipur%Bihar,Wheat,Rabi,Rabi,116642,848506,Other  Rabi pulses,Rabi,20,20,Wheat,Rabi,90522,224042
695,Abdul Gaffar,2811831888,male,IDFC FIRST Bank,Maharashtra,JALGAON,Bahadarpur S.O (Jalgaon),425113,Osiris Infotech Pvt. Ltd,"Jalgaon Banana,Plastic PVC Pipes",Jalgaon%Maharashtra,Cotton(lint),Kharif,Kharif,768100,425113,Groundnut,Summer,2400,3100,Wheat,Rabi,90522,224042
696,Gayan Binder Singh,3624033590,female,Karur Vysya Bank,West Bengal,BIRBHUM,Barakartickchungri BO,731202,Oswal Computers and Consultants Pvt Ltd,"Santiniketan Leather goods,Kantha",Birbhum%West Bengal,Rice,Winter,Winter,1029374,731202,Maize,Summer,115,276,Wheat,Rabi,90522,224042
697,Neha Nupur,6895919191,male,Kotak Mahindra Bank,Bihar,MADHUBANI,Jagatpur BO,847213,Oxigen,"Madhubhani Painting,Sikki Painting,Makhana",Madhubani%Bihar,Rice,Winter,Winter,188450,847213,Rice,Summer,4005,,Wheat,Rabi,90522,224042
698,Anjali Singh,3683368236,male,IDBI Bank,Delhi,SOUTH DELHI,Amar Colony SO,110024,OXIGEN SERVICES INDIA PVT LTD,"Tourism (Medical & Religious),Hospitality Services",South%Delhi,Maize,Rabi,Rabi,47347,110024,Moong(Green Gram),Rabi,90246,1527,Rice,Rabi,2942,10041
699,Avinash Wagmode,7735470391,female,RBL Bank,Haryana,GURGAON,Khandsa BO,122004,P2P MICROFINANCE AND ALLIED SERVIC,"Textile and Apparels,Enginerring Goods",Gurugram%Haryana,Maize,Rabi,Rabi,47347,122004,Moong(Green Gram),Rabi,90246,1527,Rice,Rabi,2942,10041
700,Neha Chandwani,6736263653,female,YES Bank,Haryana,ROHTAK,Assan BO,124406,PAFT Finance Ltd,Fastners and Machine Tools,Rohtak%Haryana,Maize,Rabi,Rabi,47347,124406,Moong(Green Gram),Rabi,90246,1527,Rice,Rabi,2942,10041
701,Mahima Dhiman,1319843882,male,Bank of Baroda,Haryana,REWARI,Balwari BO,123103,PAFT Inclusive Financial Services Pvt. Ltd.,"Motorcycles/ bikes,Engineering Goods",Rewari%Haryana,Maize,Rabi,Rabi,47347,123103,Moong(Green Gram),Rabi,90246,1527,Rice,Rabi,2942,10041
702,Rishabh Kumar Mishra,7622978321,male,Bank of India,Haryana,BHIWANI,Ajitpura BO,127309,Pahal Financial Services Pvt. Ltd,"Milk Product,Cattle Feed,Plastic Products",Bhiwani%Haryana,Maize,Rabi,Rabi,47347,127309,Moong(Green Gram),Rabi,90246,1527,Rice,Rabi,2942,10041
703,Ratna Agrawal,4854065982,female,Bank of Maharashtra,Haryana,FARIDABAD,Amarnagar SO Faridabad,121003,PAISALO DIGITAL LIMITED,"Auto components,Machine Tools",Faridabad%Haryana,Maize,Rabi,Rabi,47347,121003,Moong(Green Gram),Rabi,90246,1527,Rice,Rabi,2942,10041
704,Roshni Rai,9398493208,male,Canara Bank,Haryana,YAMUNANAGAR,Azizpur B.O,133206,PANKAJ JHA,"Plywood,Metal Utensils",Yamunanagar%Haryana,Maize,Rabi,Rabi,47347,133206,Moong(Green Gram),Rabi,90246,1527,Rice,Rabi,2942,10041
705,Kushboo Kumari,5056561635,female,Central Bank of India,Rajasthan,SIKAR,Mordunga BO,332030,PANOBIZ BUSINESS TECHNOLOGIES PVT LTD.,Furniture - Antique,Sikar%Rajasthan,Rice,Rabi,Rabi,15516,332030,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
706,Sonali Sharma,5680005632,male,Indian Bank,Haryana,KARNAL,Arjheri B.O,132117,PARAM PEOPLE INFOTECH SOLUTIONS PVT LTD,"Ayurvedic Products,Food Processing,Printing and Packaging",Karnal%Haryana,Maize,Rabi,Rabi,47347,132117,Moong(Green Gram),Rabi,90246,1527,Rice,Rabi,2942,10041
707,Ankur Kannoj,4810716333,male,Indian Overseas Bank,Bihar,MADHUBANI,Bathne BO,847236,PARIBARTAN,"Madhubhani Painting,Sikki Painting,Makhana",Madhubani%Bihar,Rice,Winter,Winter,188450,847236,Rice,Summer,4005,,Wheat,Rabi,90522,224042
708,Jyoti Singh,3587292131,female,Punjab and Sind Bank,Uttar Pradesh,HATHRAS,Dariyapur BO,203001,PARIN TEX,Hing (Asafoetida),Hathras%Uttar Pradesh,Wheat,Rabi,Rabi,191947,203001,Onion,Rabi,2,31,Wheat,Rabi,90522,224042
709,Geeta Kumari,4568248856,female,South Indian Bank,Telangana,HYDERABAD,Amberpet S.O,500013,Parviom Technologies Private Limited,Studded gold jewllery,Hyderabad%Telangana,Rice,Rabi,Rabi,15516,500013,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
710,Neelam Singh,2480537581,female,State Bank of India,Bihar,MADHEPURA,Bariahi BO,852132,PAY POINT INDIA NETWORK PVT LTD,"Bamboo Art,Mango",Madhepura%Bihar,Rice,Winter,Winter,117196,852132,Bajra,Kharif,12,14,Groundnut,Kharif,12,12
711,Shashi Nandan Singh,9758885480,male,UCO Bank,Bihar,PURNIA,Bhatta Bazar SO,854301,Payin Solution Pvt Ltd,"Bamboo Art,Jute,Makhana",Purnea%Bihar,Rice,Winter,Winter,185906,854301,Rice,Summer,4005,,Wheat,Rabi,90522,224042
712,Namrata Yadav,8474228439,female,Union Bank of India,Haryana,FATEHABAD,Akanwali BO,125106,Payone,"Cotton & Agri-based products,Agriculture Implements",Fatehabad%Haryana,Maize,Rabi,Rabi,47347,125106,Moong(Green Gram),Rabi,90246,1527,Rice,Rabi,2942,10041
713,Sunanjay Kumar Sinha,9314065377,male,South Indian Bank,Telangana,PEDDAPALLI,Guttepalli B.O,505185,Paypoint,Rice based products,Peddapalli%Telangana,Rice,Rabi,Rabi,15516,505185,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
714,Nikita Pandey,7451018642,female,South Indian Bank,Telangana,KARIM NAGAR,Achampalli B.O,505445,PAYTEL FINANCIAL TECHNOLOGIES PVT LTD,"Granites,Silverfiligree",Karimnager%Telangana,Rice,Rabi,Rabi,15516,505445,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
715,Sarvesh Patel,5610358756,female,CSB Bank,West Bengal,BIRBHUM,BkTPP SO,731104,Paythrough,"Santiniketan Leather goods,Kantha",Birbhum%West Bengal,Rice,Winter,Winter,1029374,731104,Maize,Summer,115,276,Wheat,Rabi,90522,224042
716,Grish Kumar Baghel,3504509325,male,City Union Bank,Rajasthan,SIKAR,Bhadwasi BO,332024,PAYTHROUGH SOFTWARES,Furniture - Antique,Sikar%Rajasthan,Rice,Rabi,Rabi,15516,332024,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
717,Akanksha Saxena,2465522455,female,DCB Bank,Maharashtra,Malegaon,Bahaduri B.O,422205,PayTM Payment Bank Ltd.,"Grapes/ Raisins,Paithani Sarees",Nashik%Maharashtra,Rice,Rabi,Rabi,15516,422205,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
718,Rajendra Pratap Singh,1819209873,male,Dhanlaxmi Bank,Bihar,SAMASTIPUR,Ahmadpur BO,848505,Peoples Forum,"Bamboo Art,Turmeric",Samastipur%Bihar,Wheat,Rabi,Rabi,116642,848505,Other  Rabi pulses,Rabi,20,20,Wheat,Rabi,90522,224042
719,Kartik Mittal,6016317811,female,Federal Bank,Maharashtra,Jalgaon,Devpimpri B.O,425114,Phoenix Mills Limited,"Jalgaon Banana,Plastic PVC Pipes",Jalgaon%Maharashtra,Cotton(lint),Kharif,Kharif,768100,425114,Groundnut,Summer,2400,3100,Wheat,Rabi,90522,224042
720,Vijay Samadhiya,3091563943,female,HDFC Bank,West Bengal,BIRBHUM,Adityapur BO,731204,PLADA INFOTECH SERVICES PVT LTD,"Santiniketan Leather goods,Kantha",Birbhum%West Bengal,Rice,Winter,Winter,1029374,731204,Maize,Summer,115,276,Wheat,Rabi,90522,224042
721,Bharat Srivastav,3051975387,male,ICICI Bank,Bihar,MADHUBANI,M G Bazar SO,847214,POONAM KHANDELWAL,"Madhubhani Painting,Sikki Painting,Makhana",Madhubani%Bihar,Rice,Winter,Winter,188450,847214,Rice,Summer,4005,,Wheat,Rabi,90522,224042
722,Ummed Singh,6060644042,male,IndusInd Bank,Delhi,SOUTH DELHI,Abul Fazal EnclaveI SO,110025,PRADAKSHANA FINTECH PVT. LTD.,"Tourism (Medical & Religious),Hospitality Services",South%Delhi,Maize,Rabi,Rabi,47347,110025,Moong(Green Gram),Rabi,90246,1527,Rice,Rabi,2942,10041
723,Umesh Saini,2870453325,male,IDFC FIRST Bank,Haryana,GURGAON,Air Force SO,122005,PRASAD PRADEEPRAO PANDHARPURKAR,"Textile and Apparels,Enginerring Goods",Gurugram%Haryana,Maize,Rabi,Rabi,47347,122005,Moong(Green Gram),Rabi,90246,1527,Rice,Rabi,2942,10041
724,Ritesh Singh,9330466292,male,Karur Vysya Bank,Haryana,ROHTAK,Anwal SO,124411,Progrow Farm and Rural Mission Pvt Ltd,Fastners and Machine Tools,Rohtak%Haryana,Maize,Rabi,Rabi,47347,124411,Moong(Green Gram),Rabi,90246,1527,Rice,Rabi,2942,10041
725,Vijendra Singh,4568187271,male,Kotak Mahindra Bank,Haryana,REWARI,Akera BO,123106,Quick Silver Connecting The Dots Services Private Limited,"Motorcycles/ bikes,Engineering Goods",Rewari%Haryana,Maize,Rabi,Rabi,47347,123106,Moong(Green Gram),Rabi,90246,1527,Rice,Rabi,2942,10041
726,Madhavani Sachin,8375173827,male,IDBI Bank,Haryana,BHIWANI,Aun BO,127310,Quicksun Technologies Pvt Ltd,"Milk Product,Cattle Feed,Plastic Products",Bhiwani%Haryana,Maize,Rabi,Rabi,47347,127310,Moong(Green Gram),Rabi,90246,1527,Rice,Rabi,2942,10041
727,Kanchan Kumari,1447296622,male,RBL Bank,Haryana,ROHTAK,Asthal Bohar SO,124021,RADHE SHYAM SOLUTION,Fastners and Machine Tools,Rohtak%Haryana,Maize,Rabi,Rabi,47347,124021,Moong(Green Gram),Rabi,90246,1527,Rice,Rabi,2942,10041
728,Omshiva,8476182827,male,YES Bank,Haryana,AMBALA,M.M.E.Complex Mulana S.O,133207,RADIAN FINSERVE PVT LTD,"Scientific Equipments,Precision Engineering Products",Ambala%Haryana,Maize,Rabi,Rabi,47347,133207,Moong(Green Gram),Rabi,90246,1527,Rice,Rabi,2942,10041
729,Kamal Hasan Raini,1893510768,female,Bank of Baroda,Rajasthan,SIKAR,Beri BO,332031,RAJARAJESHWARA ENTERPRISES,Furniture - Antique,Sikar%Rajasthan,Rice,Rabi,Rabi,15516,332031,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
730,Manish Kumar Raut,3346701810,female,Bank of India,Haryana,PANIPAT,Atta S.O,132122,RajCOMP Info Services Limited EMITRA,Handloom and Textiles,Panipat%Haryana,Maize,Rabi,Rabi,47347,132122,Moong(Green Gram),Rabi,90246,1527,Rice,Rabi,2942,10041
731,Bishwash Kumar,3682257107,male,Bank of Maharashtra,Bihar,DARBHANGA,Belhi,847237,RAJESH KUMAR,"Makhana,Madhubhani Paintings,Terracotta",Darbhanga%Bihar,Wheat,Rabi,Rabi,89175,847237,Rice,Summer,4005,,Wheat,Rabi,90522,224042
732,Sanjay Kumar Yadav,2604658199,male,South Indian Bank,Telangana,HYDERABAD,Hakimpet S.O,500014,Rajinder,Studded gold jewllery,Hyderabad%Telangana,Rice,Rabi,Rabi,15516,500014,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
733,Akshay Pandey,4012539691,male,Central Bank of India,Bihar,SUPAUL,Babhani Bhelwa BO,852131,RAJVIR SINGH,"Lac Bangles,Makhana",Supaul%Bihar,Rice,Winter,Winter,149839,852131,Rice,Summer,4005,,Wheat,Rabi,90522,224042
734,Mohd Shahbaz,9620810176,male,Indian Bank,Bihar,PURNIA,Amari kukron BO,854205,RAM INFO LIMITED,"Bamboo Art,Jute,Makhana",Purnea%Bihar,Rice,Winter,Winter,185906,854205,Rice,Summer,4005,,Wheat,Rabi,90522,224042
735,Nikki,5694393015,male,Indian Overseas Bank,Haryana,SIRSA,Chadiwal BO,125110,RAPIPAYFINTECHPVTLTD,"Cotton Products (Balls, Swabs),Sheet Fabrication (Pre Fab Structures)",Sirsa%Haryana,Maize,Rabi,Rabi,47347,125110,Moong(Green Gram),Rabi,90246,1527,Rice,Rabi,2942,10041
736,Ved Prakash Dwivedi,6894465298,female,South Indian Bank,Telangana,PEDDAPALLI,Bonthakuntapalli B.O,505186,RBL FINSERVE LIMITED,Rice based products,Peddapalli%Telangana,Rice,Rabi,Rabi,15516,505186,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
737,Gaffar Ali,6334829116,male,South Indian Bank,Telangana,JAGTIAL,Ammakkapet B.O,505450,Red Craft Events,Mango,Jagtial%Telangana,Rice,Rabi,Rabi,15516,505450,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
738,Hitendra Kumar Sen,3434347695,female,State Bank of India,West Bengal,BIRBHUM,Abinashpur SO,731121,Redmil Business Mall Private Limited,"Santiniketan Leather goods,Kantha",Birbhum%West Bengal,Rice,Winter,Winter,1029374,731121,Maize,Summer,115,276,Wheat,Rabi,90522,224042
739,Divya Tiwari,2433914787,female,UCO Bank,Rajasthan,SIKAR,Bhima BO,332025,Relisec Consultancy Services Pvt. Ltd,Furniture - Antique,Sikar%Rajasthan,Rice,Rabi,Rabi,15516,332025,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
740,Aman Mittal,8565221683,female,Union Bank of India,Maharashtra,NASHIK,Ojhar S.O,422206,Ritman Technologies Private limited,"Grapes/ Raisins,Paithani Sarees",Nashik%Maharashtra,Bajra,Kharif,Kharif,108900,422206,Safflower,Rabi,100,100,Groundnut,Summer,100,200
741,Mamta Dubey,7660021578,male,Axis Bank,Bihar,SAMASTIPUR,Bahadurpur Patory BO,848504,RIYA ENTERPRISES,"Bamboo Art,Turmeric",Samastipur%Bihar,Wheat,Rabi,Rabi,116642,848504,Other  Rabi pulses,Rabi,20,20,Wheat,Rabi,90522,224042
742,Megha Rai,8919885351,female,Bandhan Bank,Maharashtra,JALGAON,Asankheda B.O,425115,RNET ENTERPRISES,"Jalgaon Banana,Plastic PVC Pipes",Jalgaon%Maharashtra,Cotton(lint),Kharif,Kharif,768100,425115,Groundnut,Summer,2400,3100,Wheat,Rabi,90522,224042
743,Bobby Jha,8588746345,female,CSB Bank,West Bengal,BIRBHUM,Brahmanbahara BO,731213,RNFI SERVICES PVT LTD,"Santiniketan Leather goods,Kantha",Birbhum%West Bengal,Rice,Winter,Winter,1029374,731213,Maize,Summer,115,276,Wheat,Rabi,90522,224042
744,Deepa Jha,5037183816,male,City Union Bank,Bihar,MADHUBANI,BBelahi BO,847215,Roinet Solutions Pvt Ltd.,"Madhubhani Painting,Sikki Painting,Makhana",Madhubani%Bihar,Rice,Winter,Winter,188450,847215,Rice,Summer,4005,,Wheat,Rabi,90522,224042
745,Arati Khurana,1710485054,male,DCB Bank,Delhi,WEST DELHI,Ashoka Park Extn. S.O,110026,Rootreforms Intiative (OPC) Pvt. Ltd.,Furniture items,West%Delhi,Maize,Rabi,Rabi,47347,110026,Moong(Green Gram),Rabi,90246,1527,Rice,Rabi,2942,10041
746,Khem Chand,8705708619,female,Dhanlaxmi Bank,Haryana,GURGAON,Basai BO,122006,Rupeek Fintech Private Limited,"Textile and Apparels,Enginerring Goods",Gurugram%Haryana,Maize,Rabi,Rabi,47347,122006,Moong(Green Gram),Rabi,90246,1527,Rice,Rabi,2942,10041
747,Deepa Rani,7829211319,male,Federal Bank,Haryana,ROHTAK,Chimni BO,124412,Ruptok Fintech Private Limited,Fastners and Machine Tools,Rohtak%Haryana,Maize,Rabi,Rabi,47347,124412,Moong(Green Gram),Rabi,90246,1527,Rice,Rabi,2942,10041
748,Prakash Chandra Sharma,6563503586,female,HDFC Bank,Haryana,REWARI,Industrial Area Dharuhera SO,123110,S V Creditline Limited,"Motorcycles/ bikes,Engineering Goods",Rewari%Haryana,Maize,Rabi,Rabi,47347,123110,Moong(Green Gram),Rabi,90246,1527,Rice,Rabi,2942,10041
749,Kumari Swati,1429086473,male,ICICI Bank,Haryana,BHIWANI,Dhana Ladan Pur BO,127311,S2 Preya Investment Services Pvt Ltd,"Milk Product,Cattle Feed,Plastic Products",Bhiwani%Haryana,Maize,Rabi,Rabi,47347,127311,Moong(Green Gram),Rabi,90246,1527,Rice,Rabi,2942,10041
