S.No,Name of BC,Contact Number,Gender,State,District ,Office Name,Pincode,Corporate BC name,ODOP product,CODE WORD OF PRODUCT LIST,CROP1 NAME,CROP1 SEASON,CROP1 PRODUCTION
509,Jeevani Chaudhary,4634858618,male,Haryana,FATEHABAD,Aharwan BO,125051,VECTOR FINANCE PVT LTD,"Cotton & Agri-based products,Agriculture Implements",Fatehabad%Haryana,Maize,Rabi,47347
510,Rakhi,5773511141,female,Maharashtra,NASHIK,Bhonsala Military School B.O,422013,VEDANT ASSET PRIVATE LIMITED,"Grapes/ Raisins,Paithani Sarees",Nashik%Maharashtra,Bajra,Kharif,108900
511,Kalkie Naakysh Sharma,8447277513,female,Bihar,BEGUSARAI,Barauni Urvark Nagar SO,851115,VEDAVAAG SYSTEMS LIMITED,"Maize,Chilly",Begusarai%Bihar,Wheat,Rabi,64159
512,Lovely,6795557602,female,Maharashtra,Jalgaon,Adgaon B.O,425107,VEDIKA CORPORATION,"Jalgaon Banana,Plastic PVC Pipes",Jalgaon%Maharashtra,Cotton(lint),Kharif,768100
513,Sadhana Gautam,6110366261,female,Uttar Pradesh,ALLAHABAD,Bidaom BO,212206,VEE TECHNOLOGIES,Moonj products,Prayagraj%Uttar Pradesh,Wheat,Rabi,290829
514,Rohit Amar Pal,7029877333,male,Odisha,SUNDERGARH,Durubaga B.O,770013,VELICHAM FINANCE PRIVATE LIMITED,Refractory Cement,Sundergarh%Odisha,Rice,Rabi,15516
515,Raman Deep Kaur,9929229679,female,Manipur,Imphal West,Ahallup B.O,795002,VENTURE SUPPLY CHAIN PVT LTD,"Toys- Laiphadibi,Khurkul Mooga",Imphal West%Manipur,Rice,Rabi,15516
516,Tajindar Kaur,3556140223,male,Jharkhand,BOKARO,Marafari Colony SO,827012,Vidcom Business Solution Private Limited,Woodcraft,Bokaro%Jharkhand,Maize,Rabi,47347
517,Asif Iqbal,8810560959,male,Bihar,WEST CHAMPARAN,Bariarwa BO,845453,VIDUAL COMMUNICATIONS INDIA PVT LTD,"Marcha Chura,Ready made Garments",West Champaran%Bihar,Sugarcane,Whole Year,9614539
518,Mohammad Naaz Taj,4293168938,female,Bihar,DARBHANGA,K D S U SO,846008,VIKALP MULTI MEDIA FUND SETTLEMENT,"Makhana,Madhubhani Paintings,Terracotta",Darbhanga%Bihar,Wheat,Rabi,89175
519,Ishtaque Ahamad,4769059807,male,Jharkhand,DHANBAD,Bagdigi BO,828110,VILLAGE FINANCIAL SERVICES LIMITED,Coal,Dhanbad%Jharkhand,Rice,Winter,228890
520,Abhilash Kumar Jha,1796735781,male,Jharkhand,BOKARO,Jhagrahi BO,828125,Vinrak  Technologies pvt ltd,Woodcraft,Bokaro%Jharkhand,Maize,Rabi,47347
521,Biswajeet Kumar Singh,2176067049,male,Jharkhand,DHANBAD,Patherdih SO,828119,Viren Business Solution Private Limited,Coal,Dhanbad%Jharkhand,Rice,Winter,228890
522,Shalu Kumari,3108684427,female,Bihar,MUZAFFARPUR,Balour BO,847107,Virinchi Limited,"Shahi Litchi,Sujini Embroidery,Bags & Garments",Muzaffarpur%Bihar,Rice,Winter,215461
523,Yashawant Verma,5399162520,female,Manipur,Chandel,Anal Khullen B.O,795102,VIRTUAL GALAXY INFOTECH PVT LTD,Turmeric,Chandel%Manipur,Maize,Rabi,47347
524,Vibha Dixit,1913358830,male,Assam,KAMRUP METROPOLITAN,Guwahati University H.O,781014,Visionindia Software Exports,"Home Furnishing made of Eri , Muga & Assam Silk,etc.",KAMRUP METROPOLITAN%Assam,Paddy,Winter,140739
525,Abhishek Srivastav,9014053929,male,Assam,KAMRUP METROPOLITAN,Khanapara S.O,781022,VIVEKANANDA INSTITUTE OF BIOTECHNOL,"Home Furnishing made of Eri , Muga & Assam Silk,etc.",KAMRUP METROPOLITAN%Assam,Paddy,Winter,140739
526,Rakesh Yadav,4880374430,male,Telangana,JAGTIAL,Chittapur B.O,505331,WeGrow Financial Services Private Limited,Mango,Jagtial%Telangana,Rice,Rabi,15516
527,Dishant Trivedi,3600234360,female,Delhi,WEST DELHI,Ashok Nagar S.O (West Delhi),110018,Weizmann,Furniture items,West%Delhi,Maize,Rabi,47347
528,Divya Singh,2150370986,female,Haryana,FARIDABAD,Aurangabad SO Faridabad,121105,Weizmann Impex Service Enterprise Ltd,"Auto components,Machine Tools",Faridabad%Haryana,Maize,Rabi,47347
529,Mallika,2152046374,female,Haryana,JHAJJAR,Akheri Madanpur BO,124146,Wisedrive Technologies Pvt Ltd,Footwear,Jhajjar%Haryana,Maize,Rabi,47347
530,Sandeep Saini,7279649203,female,Bihar,ARARIA,Amhara BO,854318,Writer Business Services Private Limited,"Makhana,Jute",Araria%Bihar,Rice,Winter,216846
531,Ajmal Ahmed,9052305381,male,Haryana,BHIWANI,Bajina BO,127111,YASHWANT KUMAR KUMAWAT,"Milk Product,Cattle Feed,Plastic Products",Bhiwani%Haryana,Maize,Rabi,47347
532,Purva Pandey,3022547468,male,Bihar,BHAGALPUR,Balaha BO,853203,Yellow Fintech Private Limited,"Bhagalpur Silk,Manjusha Painting,Jardalu Mango",Bhagalpur%Bihar,Wheat,Rabi,52831
533,Anita Kumari,8851235552,female,Haryana,SONIPAT,Busana BO,131306,ZERO MICRO FINANCE SAVINGS SUPPORT FOUNDA-TRUST RETENA,"Plastic moulded Products ( Electronic Toys),Food Processing,Stainless Steel Products",Sonipat%Haryana,Maize,Rabi,47347
534,Naman Chaddha,3350040945,male,Uttar Pradesh,KANPUR NAGAR,Agriculture College SO,208002,Zest money (M/s Camden Town Technologies Pvt Ltd),Leather Products,Kanpur Nagar%Uttar Pradesh,Wheat,Rabi,155171
535,Hamid,2731054077,female,Haryana,PANIPAT,Ahar B.O,132107,ZOOM CONNECT SERVICES ASSAM PRIVATE (ARTH RURAL CONNECT SERVICES PVT LTD),Handloom and Textiles,Panipat%Haryana,Maize,Rabi,47347
536,Mohd. Abbas,3596028382,female,Madhya Pradesh,NARSINGHPUR,Banskheda B.O,487661,ZUBAR ENTERPRISES,Toor Dal,Narsinghpur%Madhya Pradesh,Rice,Rabi,15516
537,Priyesh Kumar,2277539666,male,Uttar Pradesh,KANPUR NAGAR,B N Shukla  Sons SO,208001,Drishtee Development and Communication Ltd.,Leather Products,Kanpur Nagar%Uttar Pradesh,Wheat,Rabi,155171
538,Pawan,9980444336,male,Telangana,HYDERABAD,IICT S.O,500007,DRU Gold Private Limited,Studded gold jewllery,Hyderabad%Telangana,Rice,Rabi,15516
539,Md Waseem Khan,1156277565,male,Bihar,SAHARSA,Saharsa Bazar SO,852201,DVARA KSHETRIYA GRAMIN FINANCIAL SERVICES PVT,Makhana,Saharsa%Bihar,Rice,Winter,130436
540,Shilpa Thakur,1590176137,male,Bihar,ARARIA,Araria Bairgachhi BO,854311,E-GRAMIN SERVICES PVT LTD,"Makhana,Jute",Araria%Bihar,Rice,Winter,216846
541,Kashinath Kumar,4785238998,female,Haryana,SIRSA,Burj Bhangu BO,125077,Earth More Private Limited,"Cotton Products (Balls, Swabs),Sheet Fabrication (Pre Fab Structures)",Sirsa%Haryana,Maize,Rabi,47347
542,Payel Ghosh Chakraborty,7816396439,male,Telangana,PEDDAPALLI,Gumpula B.O,505152,Easy Homes Finance Limited,Rice based products,Peddapalli%Telangana,Rice,Rabi,15516
543,Parul Munjal,9207046259,male,Haryana,GURGAON,Farrukh Nagar SO,122506,EASY PAY PVT  LTD.,"Textile and Apparels,Enginerring Goods",Gurugram%Haryana,Maize,Rabi,47347
544,Praveen Pratap Singh,1091376423,female,Maharashtra,THANE,Atali B.O,421102,Ecartes Technology Pvt.Ltd.,"Garments & Textiles,Millets",Thane%Maharashtra,Rice,Kharif,132900
545,Nikita Sehrawat,1716884924,female,Haryana,HISAR,Asrawan BO,125052,EDUCATE SKILL AND WORK INDIA,"Steel Products,Agriculture Implements,Dairy products",Hisar%Haryana,Maize,Rabi,47347
546,Dhananjay Kumar Yadav,1327774901,male,Maharashtra,NASHIK,Datli B.O,422112,EKO INDIA FINANCIAL SERVICES PRIVATE LIMITED,"Grapes/ Raisins,Paithani Sarees",Nashik%Maharashtra,Bajra,Kharif,108900
547,Amar Kumar,1147947082,female,Bihar,BEGUSARAI,Barauni Oil Refinery SO,851114,eKOSH FINANCIAL SERVICES PVT LTD,"Maize,Chilly",Begusarai%Bihar,Wheat,Rabi,64159
548,Parul,3547197055,male,Maharashtra,Jalgaon,Akulkheda S.O,425108,EQUITY CAPITAL ADVISORS (INDIA) PRIVATE LIMITED,"Jalgaon Banana,Plastic PVC Pipes",Jalgaon%Maharashtra,Cotton(lint),Kharif,768100
549,Arif,6787016551,male,Uttar Pradesh,ALLAHABAD,Badagaon BO,212502,ESAF Swasraya Multi-State Agro co-operative Society,Moonj products,Prayagraj%Uttar Pradesh,Wheat,Rabi,290829
550,Vikash Singh Chauhan,5165850071,male,Odisha,SUNDERGARH,B.Sankara B.O,770014,EVER GREEN FORUM,Refractory Cement,Sundergarh%Odisha,Rice,Rabi,15516
551,Shubham Kumar Jain,5832452991,male,Manipur,Imphal West,Canchipur B.O,795003,EVERGREEN DEVELOPMENT SOCIETY AND LIBRARY,"Toys- Laiphadibi,Khurkul Mooga",Imphal West%Manipur,Rice,Rabi,15516
552,Kumar Sanu,5026574735,male,Jharkhand,BOKARO,Adrakuri BO,827013,Evergreen Proserv,Woodcraft,Bokaro%Jharkhand,Maize,Rabi,47347
553,Gaurav Gunjan,2221466589,female,Bihar,WEST CHAMPARAN,Bakharia BO,845454,Exclusive Leasing and Finance Pvt.Ltd.,"Marcha Chura,Ready made Garments",West Champaran%Bihar,Sugarcane,Whole Year,9614539
554,Ritesh Srivastav,5370698241,female,Bihar,DARBHANGA,Dhoi BO,846009,FAB N MORE,"Makhana,Madhubhani Paintings,Terracotta",Darbhanga%Bihar,Wheat,Rabi,89175
555,Alka Rani,3219001140,female,Jharkhand,DHANBAD,Amlapara Jharia SO,828111,FABLE O ENTERPRISES,Coal,Dhanbad%Jharkhand,Rice,Winter,228890
556,Ajeet Kumar Bharati,8166248680,female,Jharkhand,DHANBAD,Sudamdih SO,828126,FAIRLANDS TECHNOLOGY SERVICES PRIVATE LIMITED,Coal,Dhanbad%Jharkhand,Rice,Winter,228890
557,Suraj Bisht,4320828144,female,Jharkhand,DHANBAD,Motinagar SO Dhanbad,828120,FENEXA TECHNOLOGY PRIVATE LIMITED,Coal,Dhanbad%Jharkhand,Rice,Winter,228890
558,Ankita Upadhyay,3936718314,male,Bihar,MADHUBANI,Auraha BO,847108,FIA Technology Services Pvt. Ltd,"Madhubhani Painting,Sikki Painting,Makhana",Madhubani%Bihar,Rice,Winter,188450
559,Anish Kumar,6281667027,male,Manipur,Thoubal,Arong Nongmaikhong B.O,795103,Financial Software and Systems Pvt Ltd,Pineapple,Thoubal%Manipur,Rice,Rabi,15516
560,Mohd Adnan Ahmad,1033798437,female,Assam,KAMRUP METROPOLITAN,Bongra B.O,781015,FINMAP Solutions Private Limited,"Home Furnishing made of Eri , Muga & Assam Silk,etc.",KAMRUP METROPOLITAN%Assam,Paddy,Winter,140739
561,Anand Mishra,1627142150,female,Assam,KAMRUP METROPOLITAN,Amerigog S.O,781023,Finnable Technologies Pvt. Ltd. & Finnable Credit Pvt. Ltd.,"Home Furnishing made of Eri , Muga & Assam Silk,etc.",KAMRUP METROPOLITAN%Assam,Paddy,Winter,140739
562,Sabahat,8613085480,male,Telangana,KARIM NAGAR,Asifnagar B.O,505401,FINO Payment Bank,"Granites,Silverfiligree",Karimnager%Telangana,Rice,Rabi,15516
563,Meetu Sharma,7389131368,female,Delhi,SOUTH DELHI,Alaknanda SO,110019,Finserin Online Services Private Limited,"Tourism (Medical & Religious),Hospitality Services",South%Delhi,Maize,Rabi,47347
564,Savita Prakash,7453412432,female,Haryana,FARIDABAD,Ali Meo BO,121106,Finsigma Inclusive Services Pvt Ltd,"Auto components,Machine Tools",Faridabad%Haryana,Maize,Rabi,47347
565,Eash Kumar Rohilla,6561953783,male,Haryana,JHAJJAR,Baghpur BO,124201,FOUR LEAF CLOVER AGRO PRIVATE LIMITED,Footwear,Jhajjar%Haryana,Maize,Rabi,47347
566,Samratsingh Tanvar,4301686225,male,Bihar,KATIHAR,AJHRAIL BO,854317,Fourth Dimension Solutions Limited,"Jute,Makhana,Maize",Katihar%Bihar,Rice,Winter,154124
567,Nishi Dhan,8314209596,female,Haryana,BHIWANI,Bamla BO,127114,G U FINANCIAL SERVICES PRIVATE LIMITED,"Milk Product,Cattle Feed,Plastic Products",Bhiwani%Haryana,Maize,Rabi,47347
568,Vishal Dilip Wagh,9150753023,male,Bihar,BHAGALPUR,Akidatpur BO,853202,GANPATI FINANCIAL SERVICES,"Bhagalpur Silk,Manjusha Painting,Jardalu Mango",Bhagalpur%Bihar,Wheat,Rabi,52831
569,Palak Rustagi,3147232219,male,Haryana,SONIPAT,Barona BO,131402,Genesis Academy of Banking and Finance Education Trust,"Plastic moulded Products ( Electronic Toys),Food Processing,Stainless Steel Products",Sonipat%Haryana,Maize,Rabi,47347
570,Amarjeet Singh,1512777293,female,Haryana,PANCHKULA,C.R.P.F. Pinjore S.O,134104,GEOSANSAR ADIVSORS PRIVATE LIMITED,"Automobile Parts,Pharmaceuticals",Panchkula%Haryana,Maize,Rabi,47347
571,Dimpal Kumar,1816035497,male,Haryana,PANIPAT,Dadola B.O,132108,GIONEX TECHNOLOGIES PRIVATE LIMITED,Handloom and Textiles,Panipat%Haryana,Maize,Rabi,47347
572,Kunal Kumar,4433259651,female,Kerala,PALAKKAD,Changileri BO,678762,Global Vikas Trust,Palakkadan Matta Rice,Palakkad%Kerala,Coconut,Whole Year,442000000
573,Md Shahnawaj,7274996683,female,Uttar Pradesh,ETAH,Akbarpurkot BO,207247,Go Processing Limited,"Ankle Bells (Ghungroo), Bells and Brass Products",Etah%Uttar Pradesh,Wheat,Rabi,264536
574,Nand Kishor Mahto,1556525169,female,Telangana,HYDERABAD,Golconda S.O,500008,GODDARD technical solutions,Studded gold jewllery,Hyderabad%Telangana,Rice,Rabi,15516
575,Rajneesh Kumar,5100799314,male,Bihar,KHAGARIA,Belanawada BO,852161,GOPALGANJ PIONEER WELFARE SOCIETY,"Banana,Bamboo Art,Maize",Khagaria%Bihar,Maize,Rabi,119465
576,Rajjo Kaur,2812994651,female,Bihar,PURNIA,Bahora BO,854306,Gram Tarang Inclusive Development Services Pvt Ltd.,"Bamboo Art,Jute,Makhana",Purnea%Bihar,Rice,Winter,185906
577,Dhanshri Piyush Chikhalkar,2791498215,female,Haryana,SIRSA,Alika BO,125078,Grameen Development & Finance Pvt. Ltd,"Cotton Products (Balls, Swabs),Sheet Fabrication (Pre Fab Structures)",Sirsa%Haryana,Maize,Rabi,47347
578,Aparna,8418600367,female,Telangana,PEDDAPALLI,Gangaram B.O,505153,GRAMEEN SHAKTI MICROFINANCE SERVICES PVT. LTD.,Rice based products,Peddapalli%Telangana,Rice,Rabi,15516
579,Ashraf Alam,3558942265,male,Haryana,MEWAT,Baded BO,122508,Green Malabar Finance Ventures Limited,"Apparels,Food Processing",Mewat%Haryana,Maize,Rabi,47347
580,Dinesh Badsare,1812707031,male,Maharashtra,THANE,Mamnoli B.O,421103,GRG ATM PVT LTD,"Garments & Textiles,Millets",Thane%Maharashtra,Rice,Kharif,132900
581,Akash Sharma,6898265264,female,Haryana,HISAR,Ban Mandori BO,125053,Gujarat Infotech Limited,"Steel Products,Agriculture Implements,Dairy products",Hisar%Haryana,Maize,Rabi,47347
582,Vishal Dwivedi,3248298603,male,Maharashtra,NASHIK,Ind. Est. Malegaon Sinnar S.O,422113,HARISH PALIWAL,"Grapes/ Raisins,Paithani Sarees",Nashik%Maharashtra,Bajra,Kharif,108900
583,Shalini Srivastava,7675106012,male,Bihar,BEGUSARAI,BDeorhi SO,851113,Hermes I Tickets Pvt Ltd,"Maize,Chilly",Begusarai%Bihar,Wheat,Rabi,64159
584,Purnima Ghosh,7090432330,male,Maharashtra,JALGAON,Bhatkheda B.O,425109,Humana Financial Services Private Limited,"Jalgaon Banana,Plastic PVC Pipes",Jalgaon%Maharashtra,Cotton(lint),Kharif,768100
585,Asif Rashid,2287944826,male,West Bengal,BIRBHUM,Aligarh BO,731130,I Money Wallet Private Limited,"Santiniketan Leather goods,Kantha",Birbhum%West Bengal,Rice,Winter,1029374
586,Swastika Pandey,4022406370,female,Odisha,SUNDERGARH,B.Karuabahal B.O,770015,ICICI Merchant Services Pvt Ltd.,Refractory Cement,Sundergarh%Odisha,Rice,Rabi,15516
587,Aman Pandey,4722757638,female,Manipur,Imphal West,Central Agriculture University B.O,795004,IDFC FIRST Bharat Limited,"Toys- Laiphadibi,Khurkul Mooga",Imphal West%Manipur,Rice,Rabi,15516
588,Debashree Ghosh,3471378994,female,Jharkhand,BOKARO,Balidih SO,827014,IFMR Rural Channels and Services Pvt Ltd,Woodcraft,Bokaro%Jharkhand,Maize,Rabi,47347
589,Shivendu Kumar,6104020429,female,Bihar,WEST CHAMPARAN,Amolwa BO,845455,INDE PAY NETWORKS PVT LTD,"Marcha Chura,Ready made Garments",West Champaran%Bihar,Sugarcane,Whole Year,9614539
590,Yash Goyal,9640164333,male,Bihar,DARBHANGA,Anandpur SO,847101,INDER MONEY SERVICES PRIVATE LIMITED,"Makhana,Madhubhani Paintings,Terracotta",Darbhanga%Bihar,Wheat,Rabi,89175
591,Mohit Kumar Rai,1517887652,male,Jharkhand,DHANBAD,Jamadoba SO,828112,India Post Payments Bank,Coal,Dhanbad%Jharkhand,Rice,Winter,228890
592,Lalita Kumari,5341030027,female,Jharkhand,DHANBAD,Saraidhela SO,828127,Indian Rural Area Implementation Services Private Limited,Coal,Dhanbad%Jharkhand,Rice,Winter,228890
593,Natasha Mahajan,4715736688,female,Jharkhand,DHANBAD,Bhadrichak BO,828121,Individual BC,Coal,Dhanbad%Jharkhand,Rice,Winter,228890
594,Saraswati Rastogi,7667404080,female,Bihar,MADHUBANI,Araria Sangra BO,847109,INITIATIVES FOR DEVELOPMENT FOUNDAT,"Madhubhani Painting,Sikki Painting,Makhana",Madhubani%Bihar,Rice,Winter,188450
595,Surabhi Shrivastava,3029398548,male,Manipur,Senapati,Chawanamei B.O,795104,InstantGlobalPaytechPrivateLimited,Kiwi,Senapati%Manipur,Rice,Rabi,15516
596,Rishabh Mohan Shahu,8573900924,male,Assam,KAMRUP METROPOLITAN,Gopinathnagar S.O,781016,INTERACT SOCIAL DEVELOPMENT FOUNDATION,"Home Furnishing made of Eri , Muga & Assam Silk,etc.",KAMRUP METROPOLITAN%Assam,Paddy,Winter,140739
597,Richi Raj Singh,7062001729,male,Assam,KAMRUP METROPOLITAN,Gitanagar B.O,781024,IPS E-Services Pvt Ltd,"Home Furnishing made of Eri , Muga & Assam Silk,etc.",KAMRUP METROPOLITAN%Assam,Paddy,Winter,140739
598,Rishi Pandey,5675976980,female,Telangana,SIRCILLA,Ananthagiri B.O,505402,IRIX Technology Pvt Ltd,Fisheries,Rajanna Sircilla%Telangana,Rice,Rabi,15516
599,Ujjawal Kumar Sinha,9371332566,male,Delhi,SOUTH DELHI,C R R I SO South Delhi,110020,iServeU,"Tourism (Medical & Religious),Hospitality Services",South%Delhi,Maize,Rabi,47347
600,Manmohan Singh,8596190697,male,Haryana,FARIDABAD,Banswa BO,121107,ISERVEU TECHNOLOGY PVT LTD,"Auto components,Machine Tools",Faridabad%Haryana,Maize,Rabi,47347
601,Loveli,8069157623,female,Haryana,JHAJJAR,Dubaldhan SO,124202,Issac Technologies Pvt Ltd,Footwear,Jhajjar%Haryana,Maize,Rabi,47347
602,Kanchan Jaiswal,3123767479,female,Bihar,ARARIA,Amouna BO,854316,JAGARAN MICROFIN PRIVATE LIMITED,"Makhana,Jute",Araria%Bihar,Rice,Winter,216846
603,Diksha Mittal,2738427340,female,Haryana,BHIWANI,Bardu Chaina BO,127201,JAKKUR TECHNOPARKS PRIVATE LIMITED,"Milk Product,Cattle Feed,Plastic Products",Bhiwani%Haryana,Maize,Rabi,47347
604,Jeetendra Rajpoot,4880941114,female,Bihar,BHAGALPUR,Amarpur BO,853201,JANAKALYAN FINANCIAL SERVICES PRIVATE LIMITED,"Bhagalpur Silk,Manjusha Painting,Jardalu Mango",Bhagalpur%Bihar,Wheat,Rabi,52831
605,Rahul Chaurasia,2197681346,male,Haryana,SONIPAT,Badhana BO,131403,Janmadhaym,"Plastic moulded Products ( Electronic Toys),Food Processing,Stainless Steel Products",Sonipat%Haryana,Maize,Rabi,47347
606,Srishti,5124991328,male,Haryana,PANCHKULA,Amravati  Enclave SO,134105,JARVI AUTO LINK,"Automobile Parts,Pharmaceuticals",Panchkula%Haryana,Maize,Rabi,47347
607,Vandna,5634753182,male,Haryana,PANIPAT,Adyana B.O,132113,JC Ventures,Handloom and Textiles,Panipat%Haryana,Maize,Rabi,47347
608,Rakesh Ranjan Kumar,6826202254,female,Bihar,MADHUBANI,Ekhari BO,847232,Joshi Biztech,"Madhubhani Painting,Sikki Painting,Makhana",Madhubani%Bihar,Rice,Winter,188450
609,Duwendu Kumar,6815073359,male,Jammu and Kashmir,Leh,Chuchul B.O,194101,JOTHI CREDITS AND FINANCIAL SERVICES PRIVATE LIMITED,"Seabuckthorn,Pashmina",Leh%Ladakh,Rice,Rabi,15516
610,Laxmipati Balajee,1297325514,male,Telangana,HYDERABAD,Manovikasnagar S.O,500009,K H T AGENCIES PVT LTD,Studded gold jewllery,Hyderabad%Telangana,Rice,Rabi,15516
611,Satyam Dixit,6677533087,female,Bihar,SUPAUL,Babhangama BO,852139,Kaabil Finance pvt. ltd,"Lac Bangles,Makhana",Supaul%Bihar,Rice,Winter,149839
612,Divisha,4995068972,female,Bihar,PURNIA,Khuskibagh SO,854305,Kaleidofin Private Limited,"Bamboo Art,Jute,Makhana",Purnea%Bihar,Rice,Winter,185906
613,Ekta Sharma,6949417806,female,Haryana,SIRSA,Asa Khera BO,125101,Kalyan Rural Empowerment Development,"Cotton Products (Balls, Swabs),Sheet Fabrication (Pre Fab Structures)",Sirsa%Haryana,Maize,Rabi,47347
614,Kapil Dev,9176943129,male,Telangana,PEDDAPALLI,Kolanur S.O,505162,KAMAL Fincap Private Limited,Rice based products,Peddapalli%Telangana,Rice,Rabi,15516
615,Saloni Shekhar,5165034871,female,Andhra Pradesh,Guntur,Kiskindapalem B.O,505325,KANHA INFOTECH AND INFRASTRUCTURE,"Chillies,Bronze Casting,Mangalagiri sarees and Fabric",Guntur%Andhra Pradesh,Rice,Whole Year,1111932
616,Sourav Kumar Bhattacharjee,4086660342,male,Maharashtra,THANE,Dombivali S.O,421201,KAPOOR DIESELS GARAGE PRIVATE LIMITED,"Garments & Textiles,Millets",Thane%Maharashtra,Rice,Kharif,132900
617,Tapan Roach,7333935902,male,Rajasthan,SIKAR,Bajaj RoadSikar SO,332001,KEY TECHNOLOGIES,Furniture - Antique,Sikar%Rajasthan,Rice,Rabi,15516
618,Anurag Kushwaha,2158732624,male,Maharashtra,NASHIK,Chandori S.O,422201,KIARA MICROCREDIT PRIVATE LIMITED,"Grapes/ Raisins,Paithani Sarees",Nashik%Maharashtra,Bajra,Kharif,108900
619,Uma Shahi,7574770729,male,Bihar,BEGUSARAI,Amba BO,851112,KOTTAKOTA BUSINESS DEVELOPMENT PRIVATE LIMITED,"Maize,Chilly",Begusarai%Bihar,Wheat,Rabi,64159
620,Sunnay Sharma,6506766065,male,Maharashtra,JALGAON,Adgaon B.O,425110,KT Telematic Solutions Pvt Ltd,"Jalgaon Banana,Plastic PVC Pipes",Jalgaon%Maharashtra,Cotton(lint),Kharif,768100
621,Jay Prakash Kumar,8704993740,female,West Bengal,BIRBHUM,Deucha BO,731132,Lahanti Last Mile Services Pvt. Ltd,"Santiniketan Leather goods,Kantha",Birbhum%West Bengal,Rice,Winter,1029374
622,Sneha Subhash Rane,7004156088,male,Odisha,SUNDERGARH,Aludega B.O,770016,LALIT MOHAN SINGH,Refractory Cement,Sundergarh%Odisha,Rice,Rabi,15516
623,Kirti Shore,1857779344,male,Manipur,Imphal East,Awang Kongpal B.O,795005,Laxmi India Finleasecap Private Limited,Wangkhei Phee,Imphal East%Manipur,Rice,Rabi,15516
624,Raj Abhishek,6808640448,female,Jharkhand,BOKARO,Chira Chas SO,827015,Laxmi Samudayik Sahyog Samiti Rajgarh,Woodcraft,Bokaro%Jharkhand,Maize,Rabi,47347
625,Rahul Kumar Sahu,1591204322,female,Bihar,EAST CHAMPARAN,Bahuarawa BO,845456,LendingKart Finance Limited,"Seep Buttons,Shahi Litchi,Bags & Garments",East Champaran%Bihar,Wheat,Rabi,87581
626,Mukesh Kumar Upadhyay,5664716592,female,Bihar,MADHUBANI,Barri BO,847102,Loanzen Finance Private Limited,"Madhubhani Painting,Sikki Painting,Makhana",Madhubani%Bihar,Rice,Winter,188450
627,Kumar Kunal Sinha,8679908923,female,Jharkhand,DHANBAD,Angarpathra BO,828113,LOVISH SETHI,Coal,Dhanbad%Jharkhand,Rice,Winter,228890
628,Prakhar Sharma,1788264919,female,Jharkhand,DHANBAD,Tundoo SO,828128,LUPIN HUMAN WELFARE AND RESEARCH FOUNDATION FI,Coal,Dhanbad%Jharkhand,Rice,Winter,228890
629,Chanchala Raikwar,1018015373,female,Telangana,SIRCILLA,Balarajpalli B.O,505403,M POWER MICROFINANCE Private Limited,Fisheries,Rajanna Sircilla%Telangana,Rice,Rabi,15516
630,Aniruddh Sharma,6408666629,male,Delhi,SOUTH WEST DELHI,Anand Niketan SO,110021,M S BALAJI TOLLS,Milk Based Product,South-West%Delhi,Maize,Rabi,47347
631,Mohit Kamal,6103808423,female,Haryana,GURGAON,Arjun Nagar SO,122001,M/s Desiderata Impact Ventures Pvt Ltd (Brand Name - Progcap),"Textile and Apparels,Enginerring Goods",Gurugram%Haryana,Maize,Rabi,47347
632,Manisha Verma R,5857990302,male,Haryana,ROHTAK,Basantpur BO,124303,M/S INTEGRA MICRO SYSTEMS PVT LTD,Fastners and Machine Tools,Rohtak%Haryana,Maize,Rabi,47347
633,Vazid Ali,4790462201,female,Bihar,PURNIA,Amour BO,854315,M/S New Street Technologies Private Limited,"Bamboo Art,Jute,Makhana",Purnea%Bihar,Rice,Winter,185906
634,Sandesh Kumar Singh,7619127862,male,Haryana,BHIWANI,Charkhi  Dadri Hsgii SO,127306,M/s Senrysa Technologies Pvt. Ltd.,"Milk Product,Cattle Feed,Plastic Products",Bhiwani%Haryana,Maize,Rabi,47347
635,Pratibha Dwivedi,6184558444,male,Bihar,PURNIA,Bela Rikbaganj BO,854304,M/s Shiksha Financial Services India Private Limited,"Bamboo Art,Jute,Makhana",Purnea%Bihar,Rice,Winter,185906
636,Komal Chauhan,2586591951,female,Haryana,SIRSA,Amritsar Kalan BO,125102,M/s Tekplay Systems Limited,"Cotton Products (Balls, Swabs),Sheet Fabrication (Pre Fab Structures)",Sirsa%Haryana,Maize,Rabi,47347
637,Faizan Farooq,9863556636,male,Telangana,PEDDAPALLI,Peddapalli H.O,505172,M/s United Petro Finance Limited (Brand Name - Kapitaltech),Rice based products,Peddapalli%Telangana,Rice,Rabi,15516
638,Pushkin Gupta,5371203744,male,Telangana,KARIM NAGAR,Arnakonda B.O,505415,M/s. ATOM Technologies Limited,"Granites,Silverfiligree",Karimnager%Telangana,Rice,Rabi,15516
639,Pintu Kumar Ram,8536764003,female,West Bengal,BIRBHUM,Baruipara SO Birbhum,731101,M/s. Sarna Infocom Pvt. Ltd,"Santiniketan Leather goods,Kantha",Birbhum%West Bengal,Rice,Winter,1029374
640,Anjali Arya,8380477859,male,Rajasthan,SIKAR,Anokhu BO,332002,M2P Solutions Private Limited,Furniture - Antique,Sikar%Rajasthan,Rice,Rabi,15516
